,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
307,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 10, 'seconds': 37}",31,400868928,4008689282,BYU,FBS Independents,3,False,1,"{'minutes': 11, 'seconds': 38}",25,6
308,BYU,FBS Independents,TD,"{'minutes': 1, 'seconds': 24}",1,"{'minutes': 9, 'seconds': 13}",0,400868928,4008689283,Mississippi State,SEC,6,True,1,"{'minutes': 10, 'seconds': 37}",60,60
309,Mississippi State,SEC,TD,"{'minutes': 8, 'seconds': 25}",1,{'seconds': 48},100,400868928,4008689284,BYU,FBS Independents,15,True,1,"{'minutes': 9, 'seconds': 13}",25,75
310,BYU,FBS Independents,INT,"{'minutes': 1, 'seconds': 42}",2,"{'minutes': 14, 'seconds': 6}",52,400868928,4008689285,Mississippi State,SEC,5,False,1,{'seconds': 48},75,23
311,Mississippi State,SEC,MISSED FG,"{'minutes': 4, 'seconds': 28}",2,"{'minutes': 9, 'seconds': 38}",76,400868928,4008689286,BYU,FBS Independents,10,False,2,"{'minutes': 14, 'seconds': 6}",32,44
312,BYU,FBS Independents,TD,"{'minutes': 5, 'seconds': 44}",2,"{'minutes': 3, 'seconds': 54}",0,400868928,4008689287,Mississippi State,SEC,14,True,2,"{'minutes': 9, 'seconds': 38}",75,75
313,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 34}",2,"{'minutes': 2, 'seconds': 20}",32,400868928,4008689288,BYU,FBS Independents,3,False,2,"{'minutes': 3, 'seconds': 54}",25,7
314,BYU,FBS Independents,PUNT,{'seconds': 59},2,"{'minutes': 1, 'seconds': 21}",77,400868928,4008689289,Mississippi State,SEC,3,False,2,"{'minutes': 2, 'seconds': 20}",86,9
315,UMass,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 13, 'seconds': 12}",41,400868960,4008689601,Mississippi State,SEC,6,False,1,{'minutes': 15},74,33
316,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 55}",1,"{'minutes': 11, 'seconds': 17}",10,400868960,4008689602,UMass,FBS Independents,3,False,1,"{'minutes': 13, 'seconds': 12}",2,8
317,UMass,FBS Independents,FG,"{'minutes': 2, 'seconds': 32}",1,"{'minutes': 8, 'seconds': 45}",5,400868960,4008689603,Mississippi State,SEC,8,True,1,"{'minutes': 11, 'seconds': 17}",36,31
318,Mississippi State,SEC,PUNT,{'seconds': 50},1,"{'minutes': 7, 'seconds': 55}",21,400868960,4008689604,UMass,FBS Independents,3,False,1,"{'minutes': 8, 'seconds': 45}",23,-2
319,UMass,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 6, 'seconds': 19}",42,400868960,4008689605,Mississippi State,SEC,5,False,1,"{'minutes': 7, 'seconds': 55}",57,15
320,Mississippi State,SEC,TD,{'seconds': 11},1,"{'minutes': 6, 'seconds': 8}",100,400868960,4008689606,UMass,FBS Independents,1,True,1,"{'minutes': 6, 'seconds': 19}",17,83
321,UMass,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 4, 'seconds': 20}",65,400868960,4008689607,Mississippi State,SEC,3,False,1,"{'minutes': 6, 'seconds': 8}",73,8
322,Mississippi State,SEC,INT,{'seconds': 8},1,"{'minutes': 4, 'seconds': 12}",43,400868960,4008689608,UMass,FBS Independents,1,False,1,"{'minutes': 4, 'seconds': 20}",43,0
323,UMass,FBS Independents,FUMBLE,"{'minutes': 3, 'seconds': 18}",1,{'seconds': 54},42,400868960,4008689609,Mississippi State,SEC,8,False,1,"{'minutes': 4, 'seconds': 12}",77,35
324,South Alabama,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 25}",1,"{'minutes': 13, 'seconds': 35}",31,400868975,4008689751,Mississippi State,SEC,3,False,1,{'minutes': 15},24,7
325,Mississippi State,SEC,PUNT,"{'minutes': 4, 'seconds': 41}",1,"{'minutes': 8, 'seconds': 54}",65,400868975,4008689752,South Alabama,Sun Belt,6,False,1,"{'minutes': 13, 'seconds': 35}",88,23
326,South Alabama,Sun Belt,PUNT,{'seconds': 57},1,"{'minutes': 7, 'seconds': 57}",33,400868975,4008689753,Mississippi State,SEC,3,False,1,"{'minutes': 8, 'seconds': 54}",27,6
327,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 9}",1,"{'minutes': 5, 'seconds': 48}",75,400868975,4008689754,South Alabama,Sun Belt,2,False,1,"{'minutes': 7, 'seconds': 57}",61,-14
328,South Alabama,Sun Belt,TD,"{'minutes': 2, 'seconds': 29}",1,"{'minutes': 3, 'seconds': 19}",100,400868975,4008689755,Mississippi State,SEC,7,True,1,"{'minutes': 5, 'seconds': 48}",40,60
329,Mississippi State,SEC,MISSED FG,{'minutes': 5},2,"{'minutes': 13, 'seconds': 19}",20,400868975,4008689756,South Alabama,Sun Belt,9,False,1,"{'minutes': 3, 'seconds': 19}",75,55
330,South Alabama,Sun Belt,TD,"{'minutes': 1, 'seconds': 59}",2,"{'minutes': 11, 'seconds': 20}",100,400868975,4008689757,Mississippi State,SEC,6,True,2,"{'minutes': 13, 'seconds': 19}",20,80
331,Mississippi State,SEC,FUMBLE,"{'minutes': 2, 'seconds': 53}",2,"{'minutes': 8, 'seconds': 27}",68,400868975,4008689758,South Alabama,Sun Belt,5,False,2,"{'minutes': 11, 'seconds': 20}",75,7
332,South Alabama,Sun Belt,FG,"{'minutes': 3, 'seconds': 46}",2,"{'minutes': 4, 'seconds': 41}",80,400868975,4008689759,Mississippi State,SEC,10,True,2,"{'minutes': 8, 'seconds': 27}",16,64
333,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 13, 'seconds': 27}",81,400868987,4008689871,South Carolina,SEC,3,False,1,{'minutes': 15},75,-6
334,South Carolina,SEC,TD,"{'minutes': 2, 'seconds': 27}",1,{'minutes': 11},100,400868987,4008689872,Mississippi State,SEC,7,True,1,"{'minutes': 13, 'seconds': 27}",45,55
335,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 11}",1,"{'minutes': 8, 'seconds': 49}",65,400868987,4008689873,South Carolina,SEC,5,False,1,{'minutes': 11},75,10
336,South Carolina,SEC,DOWNS,"{'minutes': 2, 'seconds': 12}",1,"{'minutes': 6, 'seconds': 37}",97,400868987,4008689874,Mississippi State,SEC,6,False,1,"{'minutes': 8, 'seconds': 49}",22,75
337,Mississippi State,SEC,MISSED FG,"{'minutes': 6, 'seconds': 22}",1,{'seconds': 15},37,400868987,4008689875,South Carolina,SEC,13,False,1,"{'minutes': 6, 'seconds': 37}",97,60
338,South Carolina,SEC,TD,{'minutes': 3},2,"{'minutes': 12, 'seconds': 7}",100,400868987,4008689876,Mississippi State,SEC,9,True,1,{'seconds': 15},37,63
339,Mississippi State,SEC,INT,"{'minutes': 1, 'seconds': 40}",2,"{'minutes': 10, 'seconds': 27}",66,400868987,4008689877,South Carolina,SEC,4,False,2,"{'minutes': 12, 'seconds': 7}",80,14
340,South Carolina,SEC,PUNT,"{'minutes': 3, 'seconds': 26}",2,"{'minutes': 7, 'seconds': 1}",45,400868987,4008689878,Mississippi State,SEC,6,False,2,"{'minutes': 10, 'seconds': 27}",28,17
341,Mississippi State,SEC,FUMBLE,{'seconds': 37},2,"{'minutes': 6, 'seconds': 24}",86,400868987,4008689879,South Carolina,SEC,2,False,2,"{'minutes': 7, 'seconds': 1}",89,3
342,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 20}",1,"{'minutes': 12, 'seconds': 40}",31,400868996,4008689961,LSU,SEC,3,False,1,{'minutes': 15},24,7
343,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 11, 'seconds': 38}",66,400868996,4008689962,Mississippi State,SEC,3,False,1,"{'minutes': 12, 'seconds': 40}",71,5
344,Mississippi State,SEC,TD,"{'minutes': 2, 'seconds': 10}",1,"{'minutes': 9, 'seconds': 28}",100,400868996,4008689963,LSU,SEC,7,True,1,"{'minutes': 11, 'seconds': 38}",36,64
345,LSU,SEC,PUNT,"{'minutes': 3, 'seconds': 7}",1,"{'minutes': 6, 'seconds': 21}",38,400868996,4008689964,Mississippi State,SEC,6,False,1,"{'minutes': 9, 'seconds': 28}",75,37
346,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 52}",1,"{'minutes': 4, 'seconds': 29}",33,400868996,4008689965,LSU,SEC,4,False,1,"{'minutes': 6, 'seconds': 21}",8,25
347,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 3}",1,"{'minutes': 3, 'seconds': 26}",99,400868996,4008689966,Mississippi State,SEC,3,False,1,"{'minutes': 4, 'seconds': 29}",98,-1
348,Mississippi State,SEC,TD,"{'minutes': 2, 'seconds': 51}",1,{'seconds': 35},100,400868996,4008689967,LSU,SEC,7,True,1,"{'minutes': 3, 'seconds': 26}",54,46
349,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 17}",2,"{'minutes': 14, 'seconds': 18}",67,400868996,4008689968,Mississippi State,SEC,3,False,1,{'seconds': 35},65,-2
350,Mississippi State,SEC,TD,"{'minutes': 5, 'seconds': 53}",2,"{'minutes': 8, 'seconds': 25}",100,400868996,4008689969,LSU,SEC,11,True,2,"{'minutes': 14, 'seconds': 18}",18,82
351,Mississippi State,SEC,INT,"{'minutes': 1, 'seconds': 8}",1,"{'minutes': 13, 'seconds': 52}",78,400869021,4008690211,Auburn,SEC,3,False,1,{'minutes': 15},80,2
352,Auburn,SEC,MISSED FG,"{'minutes': 1, 'seconds': 12}",1,"{'minutes': 12, 'seconds': 40}",89,400869021,4008690212,Mississippi State,SEC,4,False,1,"{'minutes': 13, 'seconds': 52}",81,8
353,Mississippi State,SEC,TD,"{'minutes': 3, 'seconds': 12}",1,"{'minutes': 9, 'seconds': 28}",0,400869021,4008690213,Auburn,SEC,9,True,1,"{'minutes': 12, 'seconds': 40}",80,80
354,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 27}",1,"{'minutes': 8, 'seconds': 1}",33,400869021,4008690214,Mississippi State,SEC,3,False,1,"{'minutes': 9, 'seconds': 28}",25,8
