,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
1071,Ole Miss,SEC,TD,"{'minutes': 3, 'seconds': 2}",1,"{'minutes': 5, 'seconds': 2}",0,401012349,4010123494,Mississippi State,SEC,7,True,1,"{'minutes': 8, 'seconds': 4}",30,30
1072,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 28}",1,"{'minutes': 2, 'seconds': 34}",54,401012349,4010123495,Ole Miss,SEC,4,False,1,"{'minutes': 5, 'seconds': 2}",22,32
1073,Ole Miss,SEC,TD,"{'minutes': 3, 'seconds': 30}",2,"{'minutes': 14, 'seconds': 4}",0,401012349,4010123496,Mississippi State,SEC,8,True,1,"{'minutes': 2, 'seconds': 34}",86,86
1074,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 1}",2,"{'minutes': 12, 'seconds': 3}",40,401012349,4010123497,Ole Miss,SEC,4,False,2,"{'minutes': 14, 'seconds': 4}",25,15
1075,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 23}",2,"{'minutes': 10, 'seconds': 40}",70,401012349,4010123498,Mississippi State,SEC,3,False,2,"{'minutes': 12, 'seconds': 3}",75,5
1076,Mississippi State,SEC,FG,"{'minutes': 3, 'seconds': 54}",2,"{'minutes': 6, 'seconds': 46}",85,401012349,4010123499,Ole Miss,SEC,10,True,2,"{'minutes': 10, 'seconds': 40}",34,51
1077,Ole Miss,SEC,PUNT,{'seconds': 51},2,"{'minutes': 10, 'seconds': 16}",18,401012253,40101225310,Texas Tech,Big 12,3,False,2,"{'minutes': 11, 'seconds': 7}",17,1
1078,Texas Tech,Big 12,FG,"{'minutes': 3, 'seconds': 35}",2,"{'minutes': 6, 'seconds': 41}",12,401012253,40101225311,Ole Miss,SEC,8,True,2,"{'minutes': 10, 'seconds': 16}",65,53
1079,Ole Miss,SEC,TD,"{'minutes': 4, 'seconds': 44}",2,"{'minutes': 1, 'seconds': 57}",100,401012253,40101225312,Texas Tech,Big 12,11,True,2,"{'minutes': 6, 'seconds': 41}",25,75
1080,Texas Tech,Big 12,FG,"{'minutes': 1, 'seconds': 20}",2,{'seconds': 37},22,401012253,40101225313,Ole Miss,SEC,8,True,2,"{'minutes': 1, 'seconds': 57}",84,47
1081,Ole Miss,SEC,END OF HALF,{'seconds': 37},2,{},31,401012253,40101225314,Texas Tech,Big 12,1,False,2,{'seconds': 37},34,-3
1082,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 28}",3,"{'minutes': 13, 'seconds': 32}",31,401012253,40101225315,Texas Tech,Big 12,3,False,3,{'minutes': 15},25,6
1083,Texas Tech,Big 12,PUNT,"{'minutes': 1, 'seconds': 45}",3,"{'minutes': 11, 'seconds': 47}",49,401012253,40101225316,Ole Miss,SEC,4,False,3,"{'minutes': 13, 'seconds': 32}",70,21
1084,Ole Miss,SEC,FG,"{'minutes': 3, 'seconds': 50}",3,"{'minutes': 7, 'seconds': 57}",77,401012253,40101225317,Texas Tech,Big 12,11,True,3,"{'minutes': 11, 'seconds': 47}",12,65
1085,Texas Tech,Big 12,TD,{'seconds': 50},3,"{'minutes': 7, 'seconds': 7}",0,401012253,40101225318,Ole Miss,SEC,3,True,3,"{'minutes': 7, 'seconds': 57}",75,75
1086,Ole Miss,SEC,TD,"{'minutes': 1, 'seconds': 37}",3,"{'minutes': 5, 'seconds': 30}",100,401012253,40101225319,Texas Tech,Big 12,5,True,3,"{'minutes': 7, 'seconds': 7}",25,75
1087,Texas Tech,Big 12,PUNT,"{'minutes': 1, 'seconds': 53}",3,"{'minutes': 3, 'seconds': 37}",53,401012253,40101225320,Ole Miss,SEC,4,False,3,"{'minutes': 5, 'seconds': 30}",75,22
1088,Ole Miss,SEC,PUNT,"{'minutes': 1, 'seconds': 57}",3,"{'minutes': 1, 'seconds': 40}",47,401012253,40101225321,Texas Tech,Big 12,6,False,3,"{'minutes': 3, 'seconds': 37}",38,9
1089,Texas Tech,Big 12,FUMBLE,{'seconds': 9},3,"{'minutes': 1, 'seconds': 31}",58,401012253,40101225322,Ole Miss,SEC,1,False,3,"{'minutes': 1, 'seconds': 40}",58,9
1090,Ole Miss,SEC,DOWNS,"{'minutes': 1, 'seconds': 38}",4,"{'minutes': 14, 'seconds': 53}",54,401012253,40101225323,Texas Tech,Big 12,4,False,3,"{'minutes': 1, 'seconds': 31}",49,5
1091,Texas Tech,Big 12,TD,{'seconds': 20},4,"{'minutes': 14, 'seconds': 33}",0,401012253,40101225324,Ole Miss,SEC,2,True,4,"{'minutes': 14, 'seconds': 53}",49,54
1092,Ole Miss,SEC,DOWNS,"{'minutes': 5, 'seconds': 22}",4,"{'minutes': 9, 'seconds': 11}",86,401012253,40101225325,Texas Tech,Big 12,15,False,4,"{'minutes': 14, 'seconds': 33}",33,53
1093,Texas Tech,Big 12,FG,"{'minutes': 5, 'seconds': 2}",4,"{'minutes': 4, 'seconds': 9}",6,401012253,40101225326,Ole Miss,SEC,8,True,4,"{'minutes': 9, 'seconds': 11}",81,80
1094,Ole Miss,SEC,DOWNS,"{'minutes': 3, 'seconds': 57}",4,{'seconds': 12},95,401012253,40101225327,Texas Tech,Big 12,13,False,4,"{'minutes': 4, 'seconds': 9}",24,71
1095,Texas Tech,Big 12,END OF GAME,{'seconds': 12},4,{},97,401012253,40101225328,Ole Miss,SEC,1,False,4,{'seconds': 12},95,-2
1096,Ole Miss,SEC,TD,"{'minutes': 2, 'seconds': 34}",2,"{'minutes': 4, 'seconds': 6}",0,401012265,40101226510,Southern Illinois,,6,True,2,"{'minutes': 6, 'seconds': 40}",75,75
1097,Southern Illinois,,TD,"{'minutes': 2, 'seconds': 49}",2,"{'minutes': 1, 'seconds': 17}",100,401012265,40101226511,Ole Miss,SEC,10,True,2,"{'minutes': 4, 'seconds': 6}",25,75
1098,Ole Miss,SEC,TD,{'seconds': 37},2,{'seconds': 40},0,401012265,40101226512,Southern Illinois,,3,True,2,"{'minutes': 1, 'seconds': 17}",75,75
1099,Southern Illinois,,END OF HALF,{'seconds': 40},2,{},34,401012265,40101226513,Ole Miss,SEC,4,False,2,{'seconds': 40},24,10
1100,Ole Miss,SEC,PUNT,"{'minutes': 3, 'seconds': 14}",3,"{'minutes': 11, 'seconds': 46}",51,401012265,40101226514,Southern Illinois,,8,False,3,{'minutes': 15},75,24
1101,Southern Illinois,,TD,{'seconds': 24},3,"{'minutes': 11, 'seconds': 22}",100,401012265,40101226515,Ole Miss,SEC,2,True,3,"{'minutes': 11, 'seconds': 46}",41,59
1102,Ole Miss,SEC,PUNT,"{'minutes': 3, 'seconds': 20}",3,"{'minutes': 8, 'seconds': 2}",62,401012265,40101226516,Southern Illinois,,7,False,3,"{'minutes': 11, 'seconds': 22}",75,13
