,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
766,UMass,Mid-American,TD,"{'minutes': 3, 'seconds': 35}",1.0,"{'minutes': 10, 'seconds': 23}",0.0,400548153.0,4005481532,Ball State,Mid-American,8.0,True,2014,1.0,"{'minutes': 13, 'seconds': 58}",68.0,68.0
767,Ball State,Mid-American,PUNT,"{'minutes': 1, 'seconds': 44}",1.0,"{'minutes': 8, 'seconds': 39}",43.0,400548153.0,4005481533,UMass,Mid-American,5.0,False,2014,1.0,"{'minutes': 10, 'seconds': 23}",28.0,15.0
768,UMass,Mid-American,PUNT,"{'minutes': 2, 'seconds': 1}",1.0,"{'minutes': 6, 'seconds': 38}",69.0,400548153.0,4005481534,Ball State,Mid-American,3.0,False,2014,1.0,"{'minutes': 8, 'seconds': 39}",77.0,8.0
769,Ball State,Mid-American,INT,"{'minutes': 3, 'seconds': 30}",1.0,"{'minutes': 3, 'seconds': 8}",88.0,400548153.0,4005481535,UMass,Mid-American,9.0,False,2014,1.0,"{'minutes': 6, 'seconds': 38}",20.0,68.0
770,UMass,Mid-American,FUMBLE,"{'minutes': 4, 'seconds': 25}",2.0,"{'minutes': 13, 'seconds': 43}",11.0,400548153.0,4005481536,Ball State,Mid-American,12.0,False,2014,1.0,"{'minutes': 3, 'seconds': 8}",80.0,68.0
771,Ball State,Mid-American,INT,"{'minutes': 1, 'seconds': 20}",2.0,"{'minutes': 12, 'seconds': 23}",48.0,400548153.0,4005481537,UMass,Mid-American,5.0,False,2014,2.0,"{'minutes': 13, 'seconds': 43}",12.0,36.0
772,UMass,Mid-American,PUNT,"{'minutes': 1, 'seconds': 26}",2.0,"{'minutes': 10, 'seconds': 57}",41.0,400548153.0,4005481538,Ball State,Mid-American,3.0,False,2014,2.0,"{'minutes': 12, 'seconds': 23}",46.0,5.0
773,Ball State,Mid-American,TD,"{'minutes': 1, 'seconds': 45}",2.0,"{'minutes': 9, 'seconds': 12}",100.0,400548153.0,4005481539,UMass,Mid-American,5.0,True,2014,2.0,"{'minutes': 10, 'seconds': 57}",20.0,80.0
774,UMass,Mid-American,PUNT,"{'minutes': 1, 'seconds': 8}",1.0,"{'minutes': 13, 'seconds': 52}",48.0,400548158.0,4005481581,Akron,Mid-American,3.0,False,2014,1.0,{'minutes': 15},41.0,7.0
775,Akron,Mid-American,PUNT,"{'minutes': 3, 'seconds': 19}",1.0,"{'minutes': 10, 'seconds': 33}",57.0,400548158.0,4005481582,UMass,Mid-American,5.0,False,2014,1.0,"{'minutes': 13, 'seconds': 52}",80.0,23.0
