,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
434,Georgia Southern,Sun Belt,FUMBLE,"{'minutes': 1, 'seconds': 51}",1.0,"{'minutes': 2, 'seconds': 48}",92.0,400603925.0,4006039255,Georgia,SEC,4.0,False,2015,1.0,"{'minutes': 4, 'seconds': 39}",39.0,31.0
435,Georgia,SEC,MISSED FG,"{'minutes': 5, 'seconds': 20}",2.0,"{'minutes': 12, 'seconds': 28}",14.0,400603925.0,4006039256,Georgia Southern,Sun Belt,10.0,False,2015,1.0,"{'minutes': 2, 'seconds': 48}",8.0,78.0
436,Georgia Southern,Sun Belt,MISSED FG,"{'minutes': 2, 'seconds': 11}",2.0,"{'minutes': 10, 'seconds': 17}",69.0,400603925.0,4006039257,Georgia,SEC,6.0,False,2015,2.0,"{'minutes': 12, 'seconds': 28}",20.0,49.0
437,Georgia,SEC,TD,"{'minutes': 6, 'seconds': 30}",2.0,"{'minutes': 3, 'seconds': 47}",0.0,400603925.0,4006039258,Georgia Southern,Sun Belt,11.0,True,2015,2.0,"{'minutes': 10, 'seconds': 17}",31.0,69.0
438,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 29}",2.0,"{'minutes': 2, 'seconds': 18}",28.0,400603925.0,4006039259,Georgia,SEC,3.0,False,2015,2.0,"{'minutes': 3, 'seconds': 47}",25.0,3.0
439,Georgia Southern,Sun Belt,POSSESSION (FOR OT DRIVES),{},1.0,{'minutes': 15},13.0,400763407.0,4007634071,West Virginia,Big 12,0.0,False,2015,1.0,{'minutes': 15},13.0,0.0
440,Georgia Southern,Sun Belt,TD,"{'minutes': 4, 'seconds': 11}",1.0,"{'minutes': 10, 'seconds': 49}",100.0,400763407.0,4007634072,West Virginia,Big 12,9.0,True,2015,1.0,{'minutes': 15},13.0,87.0
441,West Virginia,Big 12,PUNT,"{'minutes': 1, 'seconds': 44}",1.0,"{'minutes': 9, 'seconds': 5}",76.0,400763407.0,4007634073,Georgia Southern,Sun Belt,3.0,False,2015,1.0,"{'minutes': 10, 'seconds': 49}",81.0,5.0
442,Georgia Southern,Sun Belt,FG,"{'minutes': 1, 'seconds': 6}",1.0,"{'minutes': 7, 'seconds': 59}",91.0,400763407.0,4007634074,West Virginia,Big 12,5.0,True,2015,1.0,"{'minutes': 9, 'seconds': 5}",31.0,60.0
443,West Virginia,Big 12,FUMBLE,"{'minutes': 1, 'seconds': 21}",1.0,"{'minutes': 6, 'seconds': 38}",74.0,400763407.0,4007634075,Georgia Southern,Sun Belt,3.0,False,2015,1.0,"{'minutes': 7, 'seconds': 59}",71.0,-3.0
444,Georgia Southern,Sun Belt,DOWNS,"{'minutes': 1, 'seconds': 41}",1.0,"{'minutes': 4, 'seconds': 57}",82.0,400763407.0,4007634076,West Virginia,Big 12,4.0,False,2015,1.0,"{'minutes': 6, 'seconds': 38}",74.0,8.0
445,West Virginia,Big 12,PUNT,"{'minutes': 4, 'seconds': 47}",1.0,{'seconds': 10},55.0,400763407.0,4007634077,Georgia Southern,Sun Belt,12.0,False,2015,1.0,"{'minutes': 4, 'seconds': 57}",82.0,27.0
446,Georgia Southern,Sun Belt,FG,"{'minutes': 1, 'seconds': 2}",2.0,"{'minutes': 14, 'seconds': 8}",86.0,400763407.0,4007634078,West Virginia,Big 12,5.0,True,2015,1.0,{'seconds': 10},20.0,66.0
447,West Virginia,Big 12,PUNT,"{'minutes': 2, 'seconds': 8}",2.0,{'minutes': 12},66.0,400763407.0,4007634079,Georgia Southern,Sun Belt,3.0,False,2015,2.0,"{'minutes': 14, 'seconds': 8}",75.0,9.0
448,Georgia Southern,Sun Belt,FG,"{'minutes': 7, 'seconds': 20}",1.0,"{'minutes': 7, 'seconds': 40}",17.0,400787308.0,4007873081,Western Michigan,Mid-American,13.0,True,2015,1.0,{'minutes': 15},91.0,74.0
449,Western Michigan,Mid-American,DOWNS,"{'minutes': 1, 'seconds': 42}",1.0,"{'minutes': 5, 'seconds': 58}",65.0,400787308.0,4007873082,Georgia Southern,Sun Belt,5.0,False,2015,1.0,"{'minutes': 7, 'seconds': 40}",25.0,40.0
450,Georgia Southern,Sun Belt,PUNT,{'seconds': 59},1.0,"{'minutes': 4, 'seconds': 59}",63.0,400787308.0,4007873083,Western Michigan,Mid-American,3.0,False,2015,1.0,"{'minutes': 5, 'seconds': 58}",65.0,2.0
451,Western Michigan,Mid-American,TD,"{'minutes': 1, 'seconds': 38}",1.0,"{'minutes': 3, 'seconds': 21}",100.0,400787308.0,4007873084,Georgia Southern,Sun Belt,4.0,True,2015,1.0,"{'minutes': 4, 'seconds': 59}",19.0,81.0
452,Georgia Southern,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 33}",2.0,"{'minutes': 14, 'seconds': 48}",55.0,400787308.0,4007873085,Western Michigan,Mid-American,6.0,False,2015,1.0,"{'minutes': 3, 'seconds': 21}",75.0,20.0
453,Western Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 5}",2.0,"{'minutes': 12, 'seconds': 43}",28.0,400787308.0,4007873086,Georgia Southern,Sun Belt,3.0,False,2015,2.0,"{'minutes': 14, 'seconds': 48}",28.0,0.0
454,Georgia Southern,Sun Belt,SF,"{'minutes': 1, 'seconds': 39}",2.0,"{'minutes': 11, 'seconds': 4}",100.0,400787308.0,4007873087,Western Michigan,Mid-American,4.0,True,2015,2.0,"{'minutes': 12, 'seconds': 43}",72.0,-28.0
455,Western Michigan,Mid-American,TD,"{'minutes': 6, 'seconds': 5}",2.0,"{'minutes': 4, 'seconds': 59}",100.0,400787308.0,4007873088,Georgia Southern,Sun Belt,11.0,True,2015,2.0,"{'minutes': 11, 'seconds': 4}",39.0,61.0
456,Georgia Southern,Sun Belt,INT,{'seconds': 43},2.0,"{'minutes': 4, 'seconds': 16}",92.0,400787308.0,4007873089,Western Michigan,Mid-American,2.0,False,2015,2.0,"{'minutes': 4, 'seconds': 59}",98.0,6.0
