,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
1518,Old Dominion,Conference USA,INT,{'seconds': 6},1.0,"{'minutes': 8, 'seconds': 52}",75.0,401014982.0,4010149824,Florida International,Conference USA,1.0,False,2018,1.0,"{'minutes': 8, 'seconds': 58}",75.0,0.0
1519,Florida International,Conference USA,PUNT,"{'minutes': 1, 'seconds': 37}",1.0,"{'minutes': 7, 'seconds': 15}",63.0,401014982.0,4010149825,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 8, 'seconds': 52}",61.0,2.0
1520,Old Dominion,Conference USA,MISSED FG,"{'minutes': 4, 'seconds': 41}",1.0,"{'minutes': 2, 'seconds': 34}",15.0,401014982.0,4010149826,Florida International,Conference USA,9.0,False,2018,1.0,"{'minutes': 7, 'seconds': 15}",87.0,72.0
1521,Florida International,Conference USA,PUNT,"{'minutes': 1, 'seconds': 59}",1.0,{'seconds': 35},29.0,401014982.0,4010149827,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 2, 'seconds': 34}",20.0,9.0
1522,Old Dominion,Conference USA,PUNT,{'seconds': 54},2.0,"{'minutes': 14, 'seconds': 41}",62.0,401014982.0,4010149828,Florida International,Conference USA,4.0,False,2018,1.0,{'seconds': 35},70.0,8.0
1523,Florida International,Conference USA,TD,{'seconds': 8},2.0,"{'minutes': 14, 'seconds': 33}",100.0,401014982.0,4010149829,Old Dominion,Conference USA,1.0,True,2018,2.0,"{'minutes': 14, 'seconds': 41}",17.0,83.0
1524,Old Dominion,Conference USA,PUNT,"{'minutes': 2, 'seconds': 52}",1.0,"{'minutes': 12, 'seconds': 8}",37.0,401014993.0,4010149931,Charlotte,Conference USA,6.0,False,2018,1.0,{'minutes': 15},25.0,12.0
1525,Charlotte,Conference USA,PUNT,"{'minutes': 1, 'seconds': 24}",1.0,"{'minutes': 10, 'seconds': 44}",89.0,401014993.0,4010149932,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 12, 'seconds': 8}",95.0,6.0
1526,Old Dominion,Conference USA,TD,"{'minutes': 4, 'seconds': 41}",1.0,"{'minutes': 6, 'seconds': 3}",100.0,401014993.0,4010149933,Charlotte,Conference USA,8.0,True,2018,1.0,"{'minutes': 10, 'seconds': 44}",39.0,61.0
1527,Charlotte,Conference USA,PUNT,{'seconds': 56},1.0,"{'minutes': 5, 'seconds': 7}",74.0,401014993.0,4010149934,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 6, 'seconds': 3}",75.0,1.0
1528,Charlotte,Conference USA,TD,"{'minutes': 2, 'seconds': 5}",1.0,"{'minutes': 3, 'seconds': 2}",0.0,401014993.0,4010149936,Old Dominion,Conference USA,5.0,True,2018,1.0,"{'minutes': 5, 'seconds': 7}",16.0,16.0
1529,Old Dominion,Conference USA,FG,"{'minutes': 6, 'seconds': 37}",2.0,"{'minutes': 11, 'seconds': 25}",76.0,401014993.0,4010149937,Charlotte,Conference USA,13.0,True,2018,1.0,"{'minutes': 3, 'seconds': 2}",25.0,51.0
1530,Charlotte,Conference USA,PUNT,"{'minutes': 3, 'seconds': 17}",2.0,"{'minutes': 8, 'seconds': 8}",56.0,401014993.0,4010149938,Old Dominion,Conference USA,6.0,False,2018,2.0,"{'minutes': 11, 'seconds': 25}",90.0,34.0
1531,Old Dominion,Conference USA,FG,"{'minutes': 3, 'seconds': 41}",2.0,"{'minutes': 4, 'seconds': 27}",81.0,401014993.0,4010149939,Charlotte,Conference USA,8.0,True,2018,2.0,"{'minutes': 8, 'seconds': 8}",18.0,63.0
1532,Old Dominion,Conference USA,TD,"{'minutes': 1, 'seconds': 40}",1.0,"{'minutes': 13, 'seconds': 20}",100.0,401015008.0,4010150081,Florida Atlantic,Conference USA,6.0,True,2018,1.0,{'minutes': 15},25.0,75.0
1533,Florida Atlantic,Conference USA,DOWNS,"{'minutes': 6, 'seconds': 39}",1.0,"{'minutes': 6, 'seconds': 41}",13.0,401015008.0,4010150082,Old Dominion,Conference USA,13.0,False,2018,1.0,"{'minutes': 13, 'seconds': 20}",77.0,64.0
1534,Old Dominion,Conference USA,PUNT,"{'minutes': 1, 'seconds': 34}",1.0,"{'minutes': 5, 'seconds': 7}",42.0,401015008.0,4010150083,Florida Atlantic,Conference USA,5.0,False,2018,1.0,"{'minutes': 6, 'seconds': 41}",13.0,29.0
1535,Florida Atlantic,Conference USA,PUNT,"{'minutes': 2, 'seconds': 3}",1.0,"{'minutes': 3, 'seconds': 4}",86.0,401015008.0,4010150084,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 5, 'seconds': 7}",95.0,9.0
1536,Old Dominion,Conference USA,DOWNS,"{'minutes': 1, 'seconds': 3}",1.0,"{'minutes': 2, 'seconds': 1}",54.0,401015008.0,4010150085,Florida Atlantic,Conference USA,4.0,False,2018,1.0,"{'minutes': 3, 'seconds': 4}",48.0,6.0
1537,Florida Atlantic,Conference USA,PUNT,"{'minutes': 2, 'seconds': 52}",2.0,"{'minutes': 14, 'seconds': 9}",57.0,401015008.0,4010150086,Old Dominion,Conference USA,6.0,False,2018,1.0,"{'minutes': 2, 'seconds': 1}",54.0,-3.0
1538,Old Dominion,Conference USA,TD,"{'minutes': 2, 'seconds': 39}",2.0,"{'minutes': 11, 'seconds': 30}",100.0,401015008.0,4010150087,Florida Atlantic,Conference USA,10.0,True,2018,2.0,"{'minutes': 14, 'seconds': 9}",16.0,84.0
1539,Florida Atlantic,Conference USA,PUNT,"{'minutes': 3, 'seconds': 19}",2.0,"{'minutes': 8, 'seconds': 11}",56.0,401015008.0,4010150088,Old Dominion,Conference USA,6.0,False,2018,2.0,"{'minutes': 11, 'seconds': 30}",75.0,19.0
1540,Old Dominion,Conference USA,DOWNS,"{'minutes': 2, 'seconds': 13}",2.0,"{'minutes': 5, 'seconds': 58}",44.0,401015008.0,4010150089,Florida Atlantic,Conference USA,7.0,False,2018,2.0,"{'minutes': 8, 'seconds': 11}",22.0,22.0
1541,Old Dominion,Conference USA,PUNT,"{'minutes': 2, 'seconds': 5}",1.0,"{'minutes': 12, 'seconds': 55}",47.0,401015016.0,4010150161,Marshall,Conference USA,5.0,False,2018,1.0,{'minutes': 15},75.0,28.0
1542,Marshall,Conference USA,FUMBLE,"{'minutes': 1, 'seconds': 6}",1.0,"{'minutes': 11, 'seconds': 49}",18.0,401015016.0,4010150162,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 12, 'seconds': 55}",8.0,10.0
1543,Old Dominion,Conference USA,INT,{'seconds': 6},1.0,"{'minutes': 11, 'seconds': 43}",18.0,401015016.0,4010150163,Marshall,Conference USA,1.0,False,2018,1.0,"{'minutes': 11, 'seconds': 49}",18.0,0.0
1544,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 23}",1.0,"{'minutes': 10, 'seconds': 20}",37.0,401015016.0,4010150164,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 11, 'seconds': 43}",35.0,2.0
1545,Old Dominion,Conference USA,PUNT,"{'minutes': 2, 'seconds': 48}",1.0,"{'minutes': 7, 'seconds': 32}",49.0,401015016.0,4010150165,Marshall,Conference USA,6.0,False,2018,1.0,"{'minutes': 10, 'seconds': 20}",81.0,32.0
1546,Marshall,Conference USA,INT,"{'minutes': 4, 'seconds': 41}",1.0,"{'minutes': 2, 'seconds': 51}",90.0,401015016.0,4010150166,Old Dominion,Conference USA,10.0,False,2018,1.0,"{'minutes': 7, 'seconds': 32}",20.0,70.0
1547,Old Dominion,Conference USA,TD,"{'minutes': 3, 'seconds': 51}",2.0,"{'minutes': 13, 'seconds': 54}",0.0,401015016.0,4010150167,Marshall,Conference USA,10.0,True,2018,1.0,"{'minutes': 2, 'seconds': 51}",0.0,88.0
1548,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 24}",2.0,"{'minutes': 12, 'seconds': 30}",17.0,401015016.0,4010150168,Old Dominion,Conference USA,3.0,False,2018,2.0,"{'minutes': 13, 'seconds': 54}",9.0,8.0
1549,Old Dominion,Conference USA,TD,"{'minutes': 3, 'seconds': 57}",2.0,"{'minutes': 8, 'seconds': 33}",0.0,401015016.0,4010150169,Marshall,Conference USA,10.0,True,2018,2.0,"{'minutes': 12, 'seconds': 30}",60.0,60.0
1550,Western Kentucky,Conference USA,PUNT,"{'minutes': 1, 'seconds': 58}",1.0,"{'minutes': 13, 'seconds': 2}",48.0,401015024.0,4010150241,Old Dominion,Conference USA,4.0,False,2018,1.0,{'minutes': 15},72.0,24.0
1551,Old Dominion,Conference USA,TD,"{'minutes': 3, 'seconds': 25}",1.0,"{'minutes': 9, 'seconds': 37}",100.0,401015024.0,4010150242,Western Kentucky,Conference USA,9.0,True,2018,1.0,"{'minutes': 13, 'seconds': 2}",20.0,80.0
1552,Western Kentucky,Conference USA,TD,"{'minutes': 3, 'seconds': 46}",1.0,"{'minutes': 5, 'seconds': 51}",0.0,401015024.0,4010150243,Old Dominion,Conference USA,8.0,True,2018,1.0,"{'minutes': 9, 'seconds': 37}",72.0,72.0
1553,Old Dominion,Conference USA,DOWNS,"{'minutes': 2, 'seconds': 36}",1.0,"{'minutes': 3, 'seconds': 15}",81.0,401015024.0,4010150244,Western Kentucky,Conference USA,7.0,False,2018,1.0,"{'minutes': 5, 'seconds': 51}",34.0,47.0
1554,Western Kentucky,Conference USA,TD,"{'minutes': 3, 'seconds': 15}",1.0,{},0.0,401015024.0,4010150245,Old Dominion,Conference USA,9.0,True,2018,1.0,"{'minutes': 3, 'seconds': 15}",81.0,81.0
1555,Old Dominion,Conference USA,TD,"{'minutes': 5, 'seconds': 10}",2.0,"{'minutes': 9, 'seconds': 50}",100.0,401015024.0,4010150246,Western Kentucky,Conference USA,11.0,True,2018,2.0,{'minutes': 15},25.0,75.0
1556,Western Kentucky,Conference USA,FG,"{'minutes': 1, 'seconds': 41}",2.0,"{'minutes': 8, 'seconds': 9}",28.0,401015024.0,4010150247,Old Dominion,Conference USA,5.0,True,2018,2.0,"{'minutes': 9, 'seconds': 50}",54.0,26.0
1557,Old Dominion,Conference USA,FG,"{'minutes': 3, 'seconds': 18}",2.0,"{'minutes': 4, 'seconds': 51}",76.0,401015024.0,4010150248,Western Kentucky,Conference USA,8.0,True,2018,2.0,"{'minutes': 8, 'seconds': 9}",26.0,50.0
1558,Western Kentucky,Conference USA,FUMBLE,"{'minutes': 1, 'seconds': 29}",2.0,"{'minutes': 3, 'seconds': 22}",29.0,401015024.0,4010150249,Old Dominion,Conference USA,4.0,False,2018,2.0,"{'minutes': 4, 'seconds': 51}",72.0,43.0
1559,Old Dominion,Conference USA,FG,"{'minutes': 6, 'seconds': 50}",1.0,"{'minutes': 8, 'seconds': 10}",14.0,401015029.0,4010150291,Middle Tennessee,Conference USA,16.0,True,2018,1.0,{'minutes': 15},75.0,61.0
1560,Middle Tennessee,Conference USA,PUNT,"{'minutes': 1, 'seconds': 56}",1.0,"{'minutes': 6, 'seconds': 14}",28.0,401015029.0,4010150292,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 8, 'seconds': 10}",22.0,6.0
1561,Old Dominion,Conference USA,TD,{'seconds': 23},1.0,"{'minutes': 5, 'seconds': 51}",0.0,401015029.0,4010150293,Middle Tennessee,Conference USA,1.0,True,2018,1.0,"{'minutes': 6, 'seconds': 14}",71.0,71.0
1562,Middle Tennessee,Conference USA,DOWNS,"{'minutes': 3, 'seconds': 37}",1.0,"{'minutes': 2, 'seconds': 14}",23.0,401015029.0,4010150294,Old Dominion,Conference USA,9.0,False,2018,1.0,"{'minutes': 5, 'seconds': 51}",19.0,4.0
1563,Old Dominion,Conference USA,TD,{'seconds': 54},1.0,"{'minutes': 1, 'seconds': 20}",0.0,401015029.0,4010150295,Middle Tennessee,Conference USA,3.0,True,2018,1.0,"{'minutes': 2, 'seconds': 14}",23.0,23.0
1564,Middle Tennessee,Conference USA,TD,{'seconds': 46},1.0,{'seconds': 34},100.0,401015029.0,4010150296,Old Dominion,Conference USA,2.0,True,2018,1.0,"{'minutes': 1, 'seconds': 20}",37.0,63.0
1565,Old Dominion,Conference USA,MISSED FG,"{'minutes': 5, 'seconds': 10}",2.0,"{'minutes': 10, 'seconds': 24}",31.0,401015029.0,4010150297,Middle Tennessee,Conference USA,11.0,False,2018,1.0,{'seconds': 34},75.0,44.0
1566,Middle Tennessee,Conference USA,FG,"{'minutes': 3, 'seconds': 35}",2.0,"{'minutes': 6, 'seconds': 49}",93.0,401015029.0,4010150298,Old Dominion,Conference USA,10.0,True,2018,2.0,"{'minutes': 10, 'seconds': 24}",31.0,62.0
1567,Old Dominion,Conference USA,TD,"{'minutes': 3, 'seconds': 31}",2.0,"{'minutes': 3, 'seconds': 18}",0.0,401015029.0,4010150299,Middle Tennessee,Conference USA,8.0,True,2018,2.0,"{'minutes': 6, 'seconds': 49}",75.0,75.0
1568,North Texas,Conference USA,INT,"{'minutes': 1, 'seconds': 14}",1.0,"{'minutes': 13, 'seconds': 46}",36.0,401015042.0,4010150421,Old Dominion,Conference USA,3.0,False,2018,1.0,{'minutes': 15},25.0,11.0
1569,Old Dominion,Conference USA,TD,"{'minutes': 2, 'seconds': 59}",1.0,"{'minutes': 10, 'seconds': 47}",0.0,401015042.0,4010150422,North Texas,Conference USA,9.0,True,2018,1.0,"{'minutes': 13, 'seconds': 46}",56.0,56.0
1570,North Texas,Conference USA,PUNT,"{'minutes': 2, 'seconds': 50}",1.0,"{'minutes': 7, 'seconds': 57}",42.0,401015042.0,4010150423,Old Dominion,Conference USA,5.0,False,2018,1.0,"{'minutes': 10, 'seconds': 47}",25.0,17.0
1571,Old Dominion,Conference USA,TD,"{'minutes': 1, 'seconds': 42}",1.0,"{'minutes': 6, 'seconds': 15}",0.0,401015042.0,4010150424,North Texas,Conference USA,7.0,True,2018,1.0,"{'minutes': 7, 'seconds': 57}",79.0,79.0
1572,North Texas,Conference USA,PUNT,{'minutes': 4},1.0,"{'minutes': 2, 'seconds': 15}",60.0,401015042.0,4010150425,Old Dominion,Conference USA,8.0,False,2018,1.0,"{'minutes': 6, 'seconds': 15}",25.0,35.0
1573,Old Dominion,Conference USA,PUNT,"{'minutes': 1, 'seconds': 36}",1.0,{'seconds': 39},84.0,401015042.0,4010150426,North Texas,Conference USA,3.0,False,2018,1.0,"{'minutes': 2, 'seconds': 15}",80.0,-4.0
1574,North Texas,Conference USA,DOWNS,{'seconds': 39},1.0,{},54.0,401015042.0,4010150427,Old Dominion,Conference USA,4.0,False,2018,1.0,{'seconds': 39},51.0,3.0
