season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2018,401019535,South Florida,UCF,False,10,38,15.1098,30.0610,0.6444,0.7466,0.9441,2.8293,13.0488,5.1098,7.9390
2008,282410024,Stanford,Oregon State,False,36,28,24.5167,40.1205,0.4317,0.7945,0.9944,0.6372,23.6038,11.4833,12.1205
2008,282500009,Arizona State,Stanford,False,41,17,34.3499,35.9987,0.4910,0.7267,0.8664,12.3487,25.6488,6.6501,18.9987
2008,282572628,TCU,Stanford,False,31,14,51.1778,11.5284,0.7004,0.7640,0.8145,17.7062,22.6494,20.1778,2.4716
2008,282640024,Stanford,San José State,False,23,10,9.2419,44.3457,0.3201,0.5218,0.7839,20.5875,48.1038,13.7581,34.3457
2008,282710264,Washington,Stanford,False,28,35,30.5866,41.3163,0.5528,0.9632,0.9123,8.9028,3.7297,2.5866,6.3163
2008,282780087,Notre Dame,Stanford,False,28,21,34.5029,31.5485,0.5144,0.9606,0.8349,17.0514,4.0455,6.5029,10.5485
2008,282850024,Stanford,Arizona,False,24,23,31.1691,43.0129,0.4393,0.8685,0.7260,27.1821,12.8438,7.1691,20.0129
2008,282920026,UCLA,Stanford,False,23,20,41.6321,35.5775,0.5328,0.9668,0.6416,34.2096,3.0546,18.6321,15.5775
2008,283060024,Stanford,Washington State,False,58,0,60.6377,12.1931,0.7331,0.9023,0.8490,14.8308,9.5555,2.6377,12.1931
2008,283132483,Oregon,Stanford,False,35,28,28.0165,44.9676,0.4154,0.7627,0.8998,9.9841,23.9511,6.9835,16.9676
2008,283200024,Stanford,USC,False,23,45,27.2396,35.4767,0.5482,0.8395,0.9380,5.2837,13.7629,4.2396,9.5233
2008,283270025,California,Stanford,False,37,16,29.7682,39.6379,0.4497,0.6928,0.8337,16.4061,30.8697,7.2318,23.6379
2009,292480265,Washington State,Stanford,False,13,39,35.1004,29.2698,0.4654,0.6355,0.8538,12.3702,31.8306,22.1004,9.7302
2009,292550154,Wake Forest,Stanford,False,24,17,39.1369,29.2467,0.5471,0.9724,0.7431,27.3835,2.8902,15.1369,12.2467
2009,292620024,Stanford,San José State,False,42,17,41.3882,34.1799,0.5381,0.8132,0.8258,16.5681,17.7916,0.6118,17.1799
2009,292690024,Stanford,Washington,False,34,14,32.0823,44.2418,0.4139,0.5650,0.6123,28.3242,32.1595,1.9177,30.2418
2009,292760024,Stanford,UCLA,False,24,16,20.5992,25.0856,0.4682,0.8244,0.9195,5.6848,12.4864,3.4008,9.0856
2009,292830204,Oregon State,Stanford,False,38,28,23.9908,31.2940,0.4496,0.7640,0.8525,10.7153,17.3032,14.0092,3.2940
2009,292900012,Arizona,Stanford,False,43,38,36.9085,38.5785,0.4910,0.9280,0.9404,5.5129,6.6700,6.0915,0.5785
2009,292970024,Stanford,Arizona State,False,33,14,37.7602,37.0724,0.5038,0.7978,0.6969,27.8326,18.3122,4.7602,23.0724
2009,293110024,Stanford,Oregon,False,51,42,31.5005,51.1526,0.4073,0.7325,0.9018,10.3469,28.6522,19.4995,9.1526
2009,293180030,USC,Stanford,False,21,55,37.1883,46.3668,0.5456,0.7567,0.9249,7.5551,24.8214,16.1883,8.6332
2009,293250024,Stanford,California,False,28,34,46.7921,28.6133,0.4139,0.7724,0.8726,13.4054,24.1788,18.7921,5.3867
2009,293320024,Stanford,Notre Dame,False,45,38,47.0292,37.1193,0.5506,0.9702,0.9882,1.1485,2.9099,2.0292,0.8807
2010,302540026,UCLA,Stanford,False,0,35,23.9086,53.4459,0.6481,0.9439,0.5856,42.3546,5.4627,23.9086,18.4459
2010,302610024,Stanford,Wake Forest,False,68,24,56.4708,38.7762,0.5787,0.7677,0.9709,3.2470,26.3054,11.5292,14.7762
2010,302680087,Notre Dame,Stanford,False,14,37,22.1879,61.7571,0.6979,0.8281,0.6660,32.9450,16.5693,8.1879,24.7571
2010,302752483,Oregon,Stanford,False,52,31,35.6983,39.9071,0.4796,0.7592,0.9284,7.3945,25.2088,16.3017,8.9071
2010,302820024,Stanford,USC,False,37,35,44.5420,39.6540,0.5231,0.9726,0.8848,12.1960,2.8880,7.5420,4.6540
2010,302960024,Stanford,Washington State,False,38,28,45.0275,35.1288,0.5474,0.9990,0.8647,14.1563,0.1013,7.0275,7.1288
2010,303030264,Washington,Stanford,False,0,41,37.6168,45.7111,0.5366,0.7088,0.6310,42.3279,32.9057,37.6168,4.7111
2010,303100024,Stanford,Arizona,False,42,17,35.7856,35.7428,0.5002,0.7353,0.8652,12.5284,24.9573,6.2144,18.7428
2010,303170009,Arizona State,Stanford,False,13,17,27.6465,51.7135,0.6278,0.7857,0.5036,49.3600,20.0669,14.6465,34.7135
2010,303240025,California,Stanford,False,14,48,16.0671,45.7786,0.6852,0.9445,0.9980,0.1543,4.2885,2.0671,2.2214
